name,count,oib_file
S3B_SR_2_LAN_SI_20190419T220302_20190419T221914_20230408T111151_0971_024_229______LN3_R_NT_005.SEN3,30,IDCSI4_20190419.txt
S3A_SR_2_LAN_SI_20170405T154727_20170405T160424_20230411T103705_1016_016_154______LN3_R_NT_005.SEN3,30,IDCSI4_20170406.txt
S3A_SR_2_LAN_SI_20180407T221543_20180407T223204_20230502T020046_0981_030_001______LN3_R_NT_005.SEN3,30,IDCSI4_20180408.txt
S3A_SR_2_LAN_SI_20170321T020139_20170321T022917_20230410T134816_1657_015_317______LN3_R_NT_005.SEN3,30,IDCSI4_20170320.txt
S3A_SR_2_LAN_SI_20160429T011255_20160429T014001_20230824T143713_1625_003_288______LN3_R_NT_005.SEN3,30,IDCSI4_20160429.txt
S3A_SR_2_LAN_SI_20160429T231125_20160429T232818_20230824T151020_1012_003_301______LN3_R_NT_005.SEN3,30,IDCSI4_20160429.txt
S3A_SR_2_LAN_SI_20160430T004645_20160430T011332_20230824T162004_1607_003_302______LN3_R_NT_005.SEN3,30,IDCSI4_20160429.txt
S3A_SR_2_LAN_SI_20190422T230404_20190422T232120_20230530T035553_1035_044_030______LN3_R_NT_005.SEN3,30,IDCSI4_20190422.txt
S3B_SR_2_LAN_SI_20190422T002620_20190422T005250_20230408T145750_1589_024_259______LN3_R_NT_005.SEN3,30,IDCSI4_20190422.txt
S3A_SR_2_LAN_SI_20190420T185629_20190420T190645_20230530T005949_0616_043_384______LN3_R_NT_005.SEN3,29,IDCSI4_20190420.txt
S3B_SR_2_LAN_SI_20190421T225100_20190421T230736_20230408T225738_0995_024_258______LN3_R_NT_005.SEN3,29,IDCSI4_20190422.txt
S3A_SR_2_LAN_SI_20180416T012417_20180416T015151_20230502T133855_1653_030_117______LN3_R_NT_005.SEN3,29,IDCSI4_20180416.txt
S3A_SR_2_LAN_SI_20170310T033450_20170310T034448_20230409T232603_0597_015_161______LN3_R_NT_005.SEN3,29,IDCSI4_20170310.txt
S3A_SR_2_LAN_SI_20160428T233604_20160428T235605_20230824T141545_1201_003_287______LN3_R_NT_005.SEN3,28,IDCSI4_20160429.txt
S3A_SR_2_LAN_SI_20190423T003933_20190423T010611_20230530T051731_1598_044_031______LN3_R_NT_005.SEN3,28,IDCSI4_20190422.txt
